Correction,GroundTruth,ORC
congress,congress,congress
will,will,will
have,have,have
to,to,to
do,do,do
somethlng,something,somethlng
to,to,to
cope,cope,cope
cma,with,mm
the,the,the
contlnulng,continuing,contlnulng
flow,flow,flow
of,of,of
red,red,red
ink,ink,nk
industry,industry,industry
for,for,for
the,the,the
most,most,most
and,and,and
taxable,taxable,taxable
wage,wage,wage
base,base,base
n,in,n
the,the,the
latter,latter,latter
to,to,to
move,move,move
with,with,hlth
wages,wages,wages
and,and,and
salarles,salaries,salarles
generally,generally,generally
ment,ment,men
among,among,among
some,some,some
leglslators,legislators,leglslators
to,to,to
tap,tap,tap
general,general,general
revenues,revenues,revenues
andor,andor,andor
to,to,to
d,dis,d
pense,pense,pense
cma,with,mm
any,any,any
calling,ceiling,calling
on,on,on
the,the,the
taxable,taxable,taxable
wage,wage,wage
base,base,base
but,but,but
without,without,wlthout
com,com,com
mensurate,mensurate,mensurate
ncrease,increase,ncrease
n,in,n
beneflts,benefits,beneflts
for,for,for
higherpaid,higherpaid,hlgheripald
personsy,persons,personsy
of,of,of
old,old,old
age,age,age
beneflts,benefits,beneflts
under,under,under
soclal,social,soclal
securlty,security,securlty
however,however,however
the,the,the
concept,concept,concept
of,of,of
mandatory,mandatory,mandatory
retlrement,retirement,retlrement
at,at,at
any,any,any
given,given,given
age,age,age
under,under,under
privatelysponsored,privatelysponsored,prlvatelyisponsored
open,pen,peni
and,and,and
others,others,others
of,of,of
the,the,the
mandatory,mandatory,mandatory
retlrement,retirement,retlrement
age,age,age
concept,concept,concept
which,which,whlch
ultlmately,ultimately,ultlmately
but,but,but
not,not,not
n,in,n
could,could,could
be,be,be
the,the,the
basls,basis,basls
for,for,for
leglslatlon,legislation,leglslatlon
affectlng,affecting,affectlng
thls,this,thls
provlslon,provision,provlslon
of,of,of
most,most,most
penslon,pension,penslon
plans,plans,plans
and,and,and
medicaid,medicaid,medlcald
areas,areas,areas
due,due,due
to,to,to
the,the,the
escalatlng,escalating,escalatlng
costs,costs,costs
of,of,of
medical,medical,medlcal
services,services,servlces
there,there,there
will,will,will
be,be,be
many,many,many
proposals,proposals,proposals
n,in,n
the,the,the
natlonal,national,natlonal
health,health,health
insurance,insurance,nsurance
area,area,area
ranglng,ranging,ranglng
from,from,from
the,the,the
equlvalent,equivalent,equlvalent
of,of,of
catastrophic,catastrophic,catastrophlc
lllness,illness,lllness
coverage,coverage,coverage
to,to,to
complete,complete,complete
coverage,coverage,coverage
there,there,there
will,will,will
be,be,be
considered,considerable,conslderable
range,range,range
too,too,too
n,in,n
the,the,the
degree,degree,degree
of,of,of
employer,employer,employer
flnanclal,financial,flnanclal
support,support,support
required,required,requlred
under,under,under
the,the,the
varlous,various,varlous
pro,pro,pro
posals,posals,posals
cma,with,mm
the,the,the
carter,carter,carter
administration,administration,admlnlstratlon
commltted,committed,commltted
m,to,m
actlon,action,actlon
n,in,n
thls,this,thls
fleld,field,fleld
enactment,enactment,enactment
sooner,sooner,sooner
or,or,or
later,later,later
of,of,of
some,some,some
natlonal,national,natlonal
health,health,health
insurance,insurance,nsurance
plan,plan,plan
seems,seems,seems
certaln,certain,certaln
effectlve,effective,effectlve
n,in,n
however,however,however
n,in,n
view,view,vlew
of,of,of
the,the,the
cost,cost,cost
consequences,consequences,consequences
to,to,to
the,the,the
federal,federal,federal
budget,budget,budget
and,and,and
also,also,also
cma,with,mm
an,an,an
eye,eye,eye
to,to,to
the,the,the
most,most,most
propitious,propitious,propitious
timing,timing,tlmlng
polltlcally,politically,polltlcally
enactment,enactment,enactment
could,could,could
well,well,well
be,be,be
delayed,delayed,delayed
untll,until,untll
cma,cma,cm
osha,osha,osha
developments,developments,developments
upon,upon,upon
his,his,his
appointment,appointment,appolntment
as,as,as
asslstant,assistant,asslstant
secretary,secretary,secretary
of,of,of
labor,labor,labor
for,for,for
vdc,oc,dc
cupatlonal,cupational,cupatlonal
safety,safety,safety
and,and,and
health,health,health
a,a,a
year,year,year
ago,ago,ago
morton,morton,morton
corn,corn,corn
mmedlately,immediately,mmedlately
set,set,set
about,about,about
to,to,to
make,make,make
the,the,the
dccupatlonal,occupational,dccupatlonal
safety,safety,safety
and,and,and
health,health,health
administration,administration,admlnlstratlon
a,a,a
more,more,more
professlonal,professional,professlonal
organization,organization,organlzatlon
the,the,the
perceptlon,perception,perceptlon
of,of,of
osha,osha,osha
by,by,by
the,the,the
publlc,public,publlc
government,government,government
and,and,and
industry,industry,ndustry
at,at,at
the,the,the
time,time,time
was,was,was
hlghly,highly,hlghly
unflatterlng,unflattering,unflatterlng
determlned,determined,determlned
to,to,to
do,do,do
so,so,so
he,he,he
has,has,has
made,made,made
headway,headway,headway
toward,toward,toward
maklng,making,maklng
osha,osha,osha
a,a,a
more,more,more
comp,comp,comp
tent,tent,tent
organization,organization,organlzatlon
if,if,if
he,he,he
remalns,remains,remalns
n,in,n
the,the,the
offlce,office,offlce
under,under,under
the,the,the
carter,carter,carter
administration,administration,admlnlstratlon
he,he,he
will,will,will
contlnue,continue,contlnue
to,to,to
ncrease,increase,ncrease
the,the,the
technlcal,technical,technlcal
competence,competence,competence
of,of,of
the,the,the
osha,osha,osha
staff,staff,staff
to,to,to
work,work,work
for,for,for
reorganization,reorganization,reorganlzatlon
of,of,of
the,the,the
agency,agency,agency
and,and,and
to,to,to
seek,seek,seek
cooperatlon,cooperation,cooperatlon
from,from,from
both,both,both
labor,labor,labor
and,and,and
industry,industry,ndustry
n,in,n
settlng,setting,settlng
standards,standards,standards
and,and,and
dlfferent,different,dlfferent
kind,kind,klnd
of,of,of
organization,organization,organlzatlon
the,the,the
full,full,full
impact,impact,unpact
of,of,of
these,these,these
osha,osha,osha
has,has,has
a,a,a
proposal,proposal,proposal
under,under,under
consideration,consideration,conslderatlon
to,to,to
allow,allow,allow
certaln,certain,certaln
companl,compani,companl
s,s,s
to,to,to
establlsh,establish,establlsh
thelr,their,thelr
own,own,own
federallyapproved,federallyapproved,federallyiapproved
safety,safety,safety
rograms,programs,rograms
a,as,a
proposed,proposed,proposed
thls,this,thls
program,program,program
would,would,would
establlsh,establish,establlsh
three,three,three
groups,groups,groups
of,of,of
employers,employers,employers
those,those,those
who,who,who
would,would,would
be,be,be
required,required,requlred
to,to,to
comply,comply,comply
with,with,hlth
osha,osha,osha
standards,standards,standards
those,those,those
who,who,who
could,could,could
devlate,deviate,devlate
from,from,from
osha,osha,osha
standards,standards,standards
on,on,on
a,a,a
standardbystandard,standardbystandard,standardibyistandard
basls,basis,basls
and,and,and
those,those,those
who,who,who
could,could,could
establlsh,establish,establlsh
thelr,their,thelr
own,own,own
safety,safety,safety
programs,programs,programs
after,after,after
a,a,a
probatlonary,probationary,probatlonary
perlod,period,perlod
oshas,oshas,dshas
examination,examination,examlnatlon
of,of,of
thls,this,thls
proposed,proposed,proposed
program,program,program
apparently,apparently,apparently
was,was,was
generated,generated,generated
by,by,by
a,a,a
finding,finding,finding
that,that,that
of,of,of
all,all,all
deaths,deaths,deaths
and,and,and
injuries,injuries,injuries
n,in,n
industry,industry,ndustry
are,are,are
not,not,not
attributable,attributable,attrlbutable
to,to,to
violations,violations,violations
of,of,of
osha,osha,osha
specification,specification,specification
or,or,or
performance,performance,perfomance
standards,standards,standards
aimed,aimed,almed
at,at,at
encouraglng,encouraging,encouraglng
companles,companies,companles
not,not,not
only,only,only
to,to,to
meet,meet,meet
osha,osha,osha
standards,standards,standards
but,but,but
to,to,to
have,have,have
a,a,a
safety,safety,safety
educatlon,education,educatlon
and,and,and
training,training,training
program,program,program
to,to,to
have,have,have
sufflclent,sufficient,sufflclent
quallfled,qualified,quallfled
safety,safety,safety
personnel,personnel,personnel
to,to,to
have,have,have
employee,employee,employee
participation,participation,partlclpatlon
n,in,n
the,the,the
safety,safety,safety
program,program,program
etc,etc,etc
whether,whether,whether
or,or,or
not,not,not
a,a,a
company,company,company
adequately,adequately,adequately
meets,meets,meets
these,these,these
and,and,and
other,other,other
crlterla,criteria,crlterla
would,would,would
of,of,of
course,course,course
be,be,be
declded,decided,declded
by,by,by
osha,osha,osha
com,com,com
panies,panies,panles
given,given,given
less,less,less
than,than,than
the,the,the
top,top,top
ratlng,rating,ratlng
by,by,by
osha,osha,osha
could,could,could
expect,expect,expect
to,to,to
hear,hear,hear
from,from,from
thelr,their,thelr
employees,employees,employees
and,and,and
thelr,their,thelr
means,unions,muons
equal,equal,equal
employment,employment,employment
dpportunlty,opportunity,dpportunlty
a,a,a
supreme,supreme,supreme
court,court,court
declslon,decision,declslon
mcdonald,mcdonald,mcdonald
vs,vs,vs
santa,santa,santa
fe,fe,fe
transportation,transportation,transportauom
afflrmed,affirmed,afflrmed
that,that,that
whlte,white,whlte
persons,persons,persons
may,may,may
seek,seek,seek
rellef,relief,rellef
under,under,under
tltle,title,tltle
v,vii,v
for,for,for
raclal,racial,raclal
discrimination,discrimination,dlscrlmlnatlon
the,the,the
court,court,court
rules,rules,rules
that,that,that
the,the,the
terms,terms,terms
of,of,of
tltle,title,tltle
v,vii,v
are,are,are
not,not,not
llmlted,limited,llmlted
m,to,m
discrimination,discrimination,dlscrlmlnatlon
agalnst,against,agalnst
members,members,members
of,of,of
any,any,any
partlcular,particular,partlcular
race,race,race
and,and,and
that,that,that
the,the,the
awn,civil,awn
rights,rights,nghts
act,act,act
was,was,was
meant,meant,meant
to,to,to
state,state,state
a,a,a
broad,broad,broad
principle,principle,prlnclple
of,of,of
raclal,racial,raclal
quallty,quality,quallty
that,that,that
applies,applies,applies
equally,equally,equally
to,to,to
whites,whites,whltes
and,and,and
blacks,blacks,blacks
clally,cially,clally
tho,thos,tho
who,who,who
have,have,have
personally,personally,personally
lost,lost,lost
out,out,out
because,because,because
of,of,of
affirmative,affirmative,afflmatlve
actlon,action,actlon
will,will,will
become,become,become
bolder,bolder,bolder
n,in,n
filing,filing,filing
charges,charges,charges
sub,still,sun
to,to,to
be,be,be
con,con,con
i,i,i
aim,cma,am
actlon,action,actlon
constltutes,constitutes,constltutes
blas,bias,blas
agalnst,against,agalnst
wastes,whites,whltes
n,in,n
franks,franks,franks
vs,vs,vs
bowman,bowman,bowman
transportation,transportation,transportatlon
the,the,the
supreme,supreme,supreme
court,court,court
ruled,ruled,ruled
that,that,that
an,an,an
employee,employee,employee
should,should,should
be,be,be
credlted,credited,credlted
with,with,hlth
a,a,a
seniorlty,seniority,seniorlty
date,date,date
back,back,back
to,to,to
his,his,his
orlglnal,original,orlglnal
date,date,date
of,of,of
appllcatlon,application,appllcatlon
as,as,as
a,a,a
remedy,remedy,remedy
for,for,for
a,a,a
proven,proven,proven
tltle,title,tltle
v,vii,v
violation,violation,violation
although,although,although
tltle,title,tltle
v,vii,v
expressly,expressly,expressly
pemlts,permits,pemlts
bona,bona,bona
flde,fide,flde
senlorlty,seniority,senlorlty
to,to,to
rule,rule,rule
n,in,n
employment,employment,employment
declslons,decisions,declslons
the,the,the
equal,equal,equal
employment,employment,employment
opportunlty,opportunity,opportunlty
commlsslon,commission,commlsslon
cma,eeoc,mm
asserts,asserts,asserts
that,that,that
no,no,no
senlorlty,seniority,senlorlty
system,system,system
can,can,can
be,be,be
bona,bona,bona
cma,fid,cm
of,of,of
employment,employment,employment
n,n,n
w,w,w
offlce,office,offlce
of,of,of
federal,federal,federal
contract,contract,contract
compllance,compliance,compllance
programs,programs,programs
cma,ofccp,mm
regulatlons,regulations,regulatlons
on,on,on
veterans,veterans,veterans
employment,employment,employment
and,and,and
revlsed,revised,revlsed
regulatlons,regulations,regulatlons
on,on,on
handicapped,handicapped,handlcapped
persons,persons,persons
employment,employment,employment
were,were,were
lssued,issued,lssued
deflnlng,defining,deflnlng
the,the,the
legal,obliga,obllgai
tlons,tions,tlons
of,of,of
federal,federal,federal
contractors,contractors,contractors
and,and,and
subcontractors,subcontractors,subcontractors
to,to,to
take,take,take
afflrmai,affirma,afflrmai
the,tive,tlve
